"","Year","Month","co2","Temperature","Date"
"206",1991,7,355.85,0.65,1991-07-01
"207",1991,8,353.7525,0.38,1991-08-01
"208",1991,9,352.19,0.51,1991-09-01
"209",1991,10,352.55,0.25,1991-10-01
"210",1991,11,353.8475,0.17,1991-11-01
"211",1991,12,355.312,0.28,1991-12-01
"212",1992,1,356.185,-0.02,1992-01-01
"213",1992,2,357.14,-0.13,1992-02-01
"214",1992,3,357.904,0.19,1992-03-01
"215",1992,4,359.3,0.31,1992-04-01
"216",1992,5,359.726,0.2,1992-05-01
"217",1992,6,359.015,0.55,1992-06-01
"218",1992,7,356.645,0.25,1992-07-01
"219",1992,8,354.69,0.31,1992-08-01
"220",1992,9,353.1,0.39,1992-09-01
"221",1992,10,353.2975,0.34,1992-10-01
"222",1992,11,354.384,0.18,1992-11-01
"223",1992,12,355.7475,0.26,1992-12-01
"224",1993,1,357.066,-0.07,1993-01-01
"225",1993,2,357.6275,0.1,1993-02-01
"226",1993,3,358.505,0.17,1993-03-01
"227",1993,4,359.3275,0.31,1993-04-01
"228",1993,5,360.176,0.33,1993-05-01
"229",1993,6,359.3225,0.54,1993-06-01
"230",1993,7,357.2675,0.47,1993-07-01
"231",1993,8,355.448,0.62,1993-08-01
"232",1993,9,354.0425,0.45,1993-09-01
"233",1993,10,354.254,0.58,1993-10-01
"234",1993,11,355.6875,0.51,1993-11-01
"235",1993,12,357.0425,0.5,1993-12-01
"236",1994,1,358.23,0.36,1994-01-01
"237",1994,2,358.9575,0.43,1994-02-01
"238",1994,3,360.305,0.01,1994-03-01
"239",1994,4,361.3025,0.48,1994-04-01
"240",1994,5,361.596,0.33,1994-05-01
"241",1994,6,360.655,0.38,1994-06-01
"242",1994,7,359.216,0.44,1994-07-01
"243",1994,8,357.16,0.28,1994-08-01
"244",1994,9,355.69,0.45,1994-09-01
"245",1994,10,356.186,0.44,1994-10-01
"246",1994,11,357.71,0.51,1994-11-01
"247",1994,12,359.07,0.44,1994-12-01
"248",1995,1,359.956,0.47,1995-01-01
"249",1995,2,361.125,0.45,1995-02-01
"250",1995,3,361.87,0.32,1995-03-01
"251",1995,4,363.182,0.43,1995-04-01
"252",1995,5,363.8975,0.47,1995-05-01
"253",1995,6,363.0475,0.75,1995-06-01
"254",1995,7,361.392,0.84,1995-07-01
"255",1995,8,358.755,0.75,1995-08-01
"256",1995,9,358.3125,0.72,1995-09-01
"257",1995,10,358.116,0.64,1995-10-01
"258",1995,11,359.55,0.6,1995-11-01
"259",1995,12,360.924,0.58,1995-12-01
"260",1996,1,362.1625,0.58,1996-01-01
"261",1996,2,363.3625,0.65,1996-02-01
"262",1996,3,364.194,0.33,1996-03-01
"263",1996,4,364.72,0.28,1996-04-01
"264",1996,5,365.12,0.61,1996-05-01
"265",1996,6,364.848,0.43,1996-06-01
"266",1996,7,363.12,0.64,1996-07-01
"267",1996,8,361.4225,0.44,1996-08-01
"268",1996,9,359.508,0.51,1996-09-01
"269",1996,10,359.675,0.47,1996-10-01
"270",1996,11,360.935,0.29,1996-11-01
"271",1996,12,362.284,0.36,1996-12-01
"272",1997,1,363.1575,0.38,1997-01-01
"273",1997,2,364.0575,0.18,1997-02-01
"274",1997,3,364.718,0.35,1997-03-01
"275",1997,4,366.4425,0.12,1997-04-01
"276",1997,5,366.6375,0.49,1997-05-01
"277",1997,6,365.5,0.62,1997-06-01
